config,sequence,seed,status,ate_cm,failure_rate_percent,end_to_end_seconds,trajectory_coverage,recovered_support_frames,tracking_recovery_audit_pixels,tracking_recovery_mapping_leak_pixels,certificate_status,source_commit,source_dirty,run_summary_sha256,frame_metrics_sha256
dyn19_full,tum_walking_xyz,1,complete,2.1051,0.0,46.99375574,1.0,34,339175,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,f426400976dbb1d98df2048650af06c91b7db50f6d40fa5e5c205a142bb87f8d,6396ca1bbf8501e72e13413fd283a964fc119debad0bf443bd3ed052a84c453a
dyn19_full,tum_walking_xyz,2,complete,2.1838,0.0,46.658053235,1.0,35,531601,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,09d4517362228f45bcb272026e6c913ea2cf99ce0b51e71c32213ab2218eaeed,4436c1f966faae673963cce4694f18c52ecad52dea3be2625b0bbbf3c11ff6b4
dyn19_mapmatched,bonn_balloon,0,complete,3.5172000000000003,0.0,23.96378456,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,5b543bb8ec82e23c175c0126e14b09cdf3dba462b78ae5e2290f11c5ed435356,4ab74895b3b5acb742b3bb9da1e182da54f5fa7575599ea4e775582d18828954
dyn19_mapmatched,bonn_balloon,1,complete,3.5666999999999995,0.0,23.922782974,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,97d04aa1d0743eb706a54c43927d00b88fc55be57888d8da652d4433c7917e94,6365afa101bfdce628cce0fd013fc729285cf057462320800635a2051e71c13d
dyn19_mapmatched,bonn_balloon,2,complete,3.2689999999999997,0.0,28.907183811,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,08965a70981367eeff0d9e49026648072e640b5c8662ee7398acb68446400c1f,410732b76c29ce3b0801d9af41f456728240ab4afcf7d9a4434107fdada1c71f
dyn19_mapmatched,bonn_crowd,0,complete,3.2632000000000003,3.6677454,36.992763974,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,512c9acdfd2039696355fb00e18b60debc8ffd49d92161122d7a7f2fd37ee315,c36db7569d358aacc0758879e93e9b5c8371582874294762562a7a1e9ae7e8a1
dyn19_mapmatched,bonn_crowd,1,complete,3.2174,3.2362460000000004,37.287499365,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,9e17979093f1c028ed9314cac5547b815075a3ccc5a60aa319274c65efec2b5c,550f423c632ccae321cff076362684461ce4eefee168b428701074ee2ab0e1bb
dyn19_mapmatched,bonn_crowd,2,complete,3.2585999999999995,3.1283711,37.09181431,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,793f20c862f040e66cb2f0fc148430e60b39d7d40d9a13f8391d23665ec10342,470b63b62e4985856d1c9891792ccd02b5a215064c5d4d9e80bc17b4c665829b
dyn19_mapmatched,bonn_crowd2,0,complete,6.8177,0.0,35.314072068,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,a6b70d0ad6b12c6db74259c295387d197bcd855319d0496a4f05974285e9db0a,1f8c4e1e5913fb274b675d3346a1687fb19379dadef02f43c3200454f7910cc2
dyn19_mapmatched,bonn_crowd2,1,complete,5.1142,0.0,35.016602116,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,e5dcee12fd147dfc1e49bab797a388de7e84de52c43c2ba7755c875fb7e2669f,b726ffb7cf110b4d8eae51e9b969b64a9bd546a4dda5329899b930e64b716d37
dyn19_mapmatched,bonn_crowd2,2,complete,7.1104,0.0,34.897213108,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,0794ccc6718acfa98cefc16473fc0807a0eeae799d698267a23d0c1f48861cb0,66c44858286ffa93f88355a700823a3de15820516d975c472f4f7236d2f911c9
dyn19_mapmatched,bonn_crowd3,0,complete,4.0809999999999995,0.0,32.162806597,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,8c9b483aa8e5b56452d727dfdea316d749c94f67f48d45a575879795b6566681,2c8e44d15e8a617dae1d939ddb79f77d0edd1aa51b0a86449ed4146a760f11d0
dyn19_mapmatched,bonn_crowd3,1,complete,4.4079,0.94451,33.011499179,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,c26bf40e99bd03e41068b799bf7f086ebf717ff3f8c93fc4af33298d4463885e,d009d742d589d8bb23d9de41302578adf8951de2cbfa7d5ec19340beaa58fcf7
dyn19_mapmatched,bonn_crowd3,2,complete,4.1406,1.4167650999999999,35.563918059,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,e90c5ff67282f47ec7192e6c3f8eebab920b6acdbdf3a18f93483285cd4b3800,822cf75e0e13b42f49ecfd0bf281f0da0641fe7d0fee7a354f0c08d32c23f736
dyn19_mapmatched,bonn_person_tracking,0,complete,4.5035,0.0,30.53176701,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,1bb01cd3684bbe99985530ccdaffed490bf71d34586b17d633d988099be713a1,258a584b9b77946f91cde34d1265a62c797435aae04bf24a628ca4314bc10a74
dyn19_mapmatched,bonn_person_tracking,1,complete,4.5657000000000005,0.0,30.334055512,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,21412b4560f461171078267901c88a727adbbb3733c07b9ebcd4566d366f2a4b,710f15f3cb3ea235b77fb1197133dfb535d2fe1c10bf076664c9a99e073f7e20
dyn19_mapmatched,bonn_person_tracking,2,complete,4.9741,0.0,29.343393599,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,15f6c25c9ad35e78fd8b0e9a4ddaa6fbf2ac883c5f0857101d90c386c164ff39,ea35bbd50e93c9e6438507d2b570e9e68f1ec42194e037b9f3b02e26d6fc786d
dyn19_mapmatched,bonn_person_tracking2,0,complete,7.294499999999999,0.0,30.81269496,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,1a26be555aed3ebce2e2e35247a58e99f186157844806978917a2ff1444ff657,746e8e70d8004800d81a9cb279ce6e779d71f16caa927633319a3f36fb6521ad
dyn19_mapmatched,bonn_person_tracking2,1,complete,12.4027,0.0,30.930818263,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,4bbdccd419af4cbaab9ec35c5f5f1dbabbf637d3113fc44f12713fd0fd4175ea,57a57cc9d9ae16abfaacdf324736808ed189274ec32e960fa316310072109b3f
dyn19_mapmatched,bonn_person_tracking2,2,complete,6.9937,0.0,28.627179341,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,51fc860cc8f4a7022ce0394d21a6a912be7b520ec49de6f85fc49287cf25f97c,1878238c0828d83fdbee36d8a1bd170c7587419864f334ec4385127c025df581
dyn19_mapmatched,tum_sitting_halfsphere,0,complete,37.120599999999996,16.2011173,41.936573344,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,356250a3affde57927c82778c62eb98122591e045e68b7cdf481899a3a28e450,236e6e67a996d1c719229c2ea8ffdb6d226e6cc5cfe4d7a38c5a40ecd6d9a56f
dyn19_mapmatched,tum_sitting_halfsphere,1,complete,42.744,16.5735568,41.342780566,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,84d1db4b1708f9d9f9c0513c8232cd44a1771254a863e70ef1da2acea275feef,852df111f3c1d1041f65d5f7f3841e0a47ffa2c5ec00a9b2d611483c1cd78169
dyn19_mapmatched,tum_sitting_halfsphere,2,complete,30.4603,16.2011173,41.962319241,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,8f3aafad18dee5269dcc55bcd9edd7b53b55b8937bbc16271e07558521b56d2c,1776f7314fe1dd016f84acdbc16744357648ab3babdb61807e9048eba19e05c6
dyn19_mapmatched,tum_walking_halfsphere,0,complete,3.3168999999999995,0.0,44.201527556,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,02edbadd19ed3068611624671be12fae9aca2cd869ce8e15566c8b2d39187e81,6d3e3a5764ec395fe9ce94c130ec704f6459c77b5e0f7173f4faa37b9babd9ee
dyn19_mapmatched,tum_walking_halfsphere,1,complete,3.4507000000000003,0.0,45.441539827,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,a7753b3d054378dab7047a4141aab1dcdeeb38a9b7a280e1aa4c919361e4341b,a25c9feae6a867c75ee5d1e06318209b727aa102a67c2024fbf405c4473f845d
dyn19_mapmatched,tum_walking_halfsphere,2,complete,3.5026,0.0,44.92803681,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,859dbde8da1b44a2e8669e1c815637a3e4bf12321c63a7ffdb9eaef879983320,8f3f4a32d6e05ab9592b23f5fd861e3c7a2152b336401802ee912bc48d2df3ab
dyn19_mapmatched,tum_walking_static,0,complete,0.7879,0.0,29.421198415,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,b8257136c10f2e9a1f40fcc00587a62e63cb2fca14d597af972d92b39917f8df,a44722bd509934d3a0f8d14708c86350fb9a89466e0c028a9dc9ca0b779ed1f4
dyn19_mapmatched,tum_walking_static,1,complete,0.807,0.0,29.739314692,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,ecbde4ecaedee8704b106291a19b442d3140e05a40dd2a44af53e3fda5aaf3e5,2c374f2c725ec5f4327c3e67a7b6d147121b002ac9d12c3bc6dff261a031a8ae
dyn19_mapmatched,tum_walking_static,2,complete,0.7753,0.0,29.001565217,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,84927c3f9d3b40997e107ec1c0ed64eef96b88211b133421a3d64da563f9d402,2541a3255d6d009e88bf3bbc34e8716fd2e20c0ff16713f827395fe9636070df
dyn19_mapmatched,tum_walking_xyz,0,complete,2.1404,0.0,35.632262002,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,3679982b62741eaab1d83228035211d59cdd10c6f2f67ef29b41ffce5582de91,11d86cafa2e8afb5df38c7657ea77910525fb6dc0257e9b97f773d774422a429
dyn19_mapmatched,tum_walking_xyz,1,complete,2.0649,0.0,36.423079793,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,bd683860c36592eaa5acbbf768350caef6977a7e9548c06cbcd7600f74029d9c,17f548513873c46bed27cc0959569bb7af206a9a32b04219b55ac124e1392077
dyn19_mapmatched,tum_walking_xyz,2,complete,2.1042,0.0,35.949904908,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,7251f26e4cb93b973df5477bb2565dbe57a9d04401092aab8d39bada44368848,4154f43e488052eab394f1292bd9e742dda803e8a6bbe642251b8eaf39df9185
dyn19_semantic,bonn_balloon,0,complete,3.5486999999999997,0.0,31.740789133,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,a4878983fb7ba4e1e6f7f63ab02886fab703f1f28471209f4e45525b015266e8,f9d89c44579e919b339215a26aac4896d0370d63aff003c46f9b896e5753be48
dyn19_semantic,bonn_balloon,1,complete,3.2154000000000003,0.0,24.46716921,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,1dc98f7aaaf0f83e3e3b76c799d613afd8b7d1841e87c453542b67189426371b,8aec2d238000fd0c40383c25f3b397e3e4a9ce76963c65adcbb89f4c3cee640b
dyn19_semantic,bonn_balloon,2,complete,3.4001,0.0,30.178138708,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,2124bab0af50f266994a4ec4c391296e3fdab853c2e9dbf42c2520ca26a4f1b9,dd3d61f6abe11a401d8f755c29f25c448e99e0ec76a89e156007d59ba163fdb2
dyn19_semantic,bonn_crowd,0,complete,4.3786,4.4228695,36.883887273,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,50d57cdfd319579889995ab08a4c69376a41123e041c83fae2371cbc264ccd8a,a2a21f68fa1cc6e2b21af84be4357bfaba77822cbe0f873768c3abb9b4cbd2de
dyn19_semantic,bonn_crowd,1,complete,4.356,3.8834950999999998,36.732553246,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,48ac3e9dd3bcf72b37c702b759ebcc61af24ae9381acacb2c286cdb75b42234f,ad8f7812cad934089e743ee915885aae3c72fd10207381ed23de8c47724299db
dyn19_semantic,bonn_crowd,2,complete,4.34,3.4519957,37.016222141,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,f407cd803c02677022ac7b5588b21448f302250c2c0c2a12528b26fd8d9537e3,2303f7cdc32709a45f1178278028d2f9935c784be9e5b1169a2074ece0c33f62
dyn19_semantic,bonn_crowd2,0,complete,23.5659,0.0,43.560096543,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,c23c7f894c4d236f26882e750c8379f7daa7d38cd41ea719f87edec3bd1c87bf,be1118e62a0663148a4f06317144c0db46ed43849851a841e01c8be9c05d9b81
dyn19_semantic,bonn_crowd2,1,complete,87.3176,0.0,36.316780501,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,62d92acc779a555ab872652ea916cc110ad65389db0d8694583790f8a9fc1338,e2e9ee04950cbe12d36a8d4053a60e227545784667480e52e61e0c4e940d29e9
dyn19_semantic,bonn_crowd2,2,complete,16.6161,0.0,36.565822906,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,e5f31c170f3f7eb3dec66ae16978f3b0d8379460bd58e8cb5ca111ed67b7fbec,f7ccc5e24b9fcb0c617cd018825d2cf989835ca657445513fbe33c239b42a8d5
dyn19_semantic,bonn_crowd3,0,complete,7.3034,0.0,33.960936925,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,6594b05b6267be04869f059fef2003c34dd6adabe184bebca47eed8d323458ad,a32461838e691b8242cfd68414704563830898e14530ffcf9206e0dac97a02ff
dyn19_semantic,bonn_crowd3,1,complete,4.8961,0.0,35.925375,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,755ac03a97562b3adee2fca9e18914520e6ebcdc6ef2fd74689a378c853d269b,9bed0441e9ab68a405445f6d3bdb606b884f33f2b58d8244d3aeedd3bfeb45c6
dyn19_semantic,bonn_crowd3,2,complete,9.0958,0.0,36.667381177,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,43a397856b4b5c099abce296464217c10f6cbd1bd0884cefb4b9c2eb5c224e6d,7ad696272f21d13bd9fdebcaf1f663f5580f47248936a3fcc32ac59e08a1f50f
dyn19_semantic,bonn_person_tracking,0,complete,4.8493,0.0,29.556973756,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,a17defcfc4e5b60f2082bdce02caac88aea11d2aabeea9277055e32bbbbe3ede,80a58c09f39bb38a2535c67713205bec7528ffb95441348d49ecb3c94ec975aa
dyn19_semantic,bonn_person_tracking,1,complete,4.3186,0.0,28.419013304,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,51d2bdd63b27c1448b1804dee896a8046037d97566a4f6d01a153520bc4a69f0,a549a1751ac1104b3f971dd5fc38ca43261d6158fed3d3a0d96568ec69a19a1d
dyn19_semantic,bonn_person_tracking,2,complete,4.1328,0.0,28.734045214,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,0af3a0da58d92ce5b9f7471b9d6ca1faff7b4f4b0f534a280c46fd43b5dbcbc6,a37627a73225f6e8e435a2f753b2ba291b9dc5ce655d89076e9f86bddba25214
dyn19_semantic,bonn_person_tracking2,0,complete,8.8938,0.0,47.54712238,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,36ce00d2d8066d1253eccfa5cde0667ba9af8678e43e3f338197a6f467bf2c4f,faeb2176c0fa46c64e4f5758257ca41c6f7c029a4d0aca563d5f4ba40b810844
dyn19_semantic,bonn_person_tracking2,1,complete,8.4763,0.0,44.674247113,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,83ec9e042753c6cec741107ede9c8fafdab0d1549435797b8842357a0f7d1741,309b535f84f8f92ecb8e50991d2b5dd160ddcd9491df14b7d11ae18a6d18d1de
dyn19_semantic,bonn_person_tracking2,2,complete,8.9694,0.0,27.03524312,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,26d9d6a4e8964ea22a8c4d1afb4fb7ae28e75b858d42c2586b86d0a49268058b,81288accaedc80d0e5fa59869df19f4b14d4eacc84ae482b60779ed7953151cb
dyn19_semantic,tum_sitting_halfsphere,0,complete,15.771799999999999,8.2867784,45.406760274,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,2ab431c8da2446fad84c8714d4843445fc46ad3073d10cda025030712a41bdb4,97cc0908c45ca15d05f8c00cf85ab463b26f67120f7c7748226b379bba0d53ea
